1634044852.1001782; 1634044861.2974687; 9.197290420532227
1634045062.2322445; 1634045066.1669388; 3.934694290161133
1634045077.4031777; 1634045081.2207966; 3.8176188468933105
1634045104.93975; 1634045108.8357978; 3.896047830581665
1634045110.401216; 1634045114.2468991; 3.8456830978393555
1634045115.7739277; 1634045119.6329584; 3.8590307235717773
1634045120.9714975; 1634045124.7588377; 3.7873401641845703
1634045126.2004979; 1634045129.988796; 3.7882981300354004
1634045131.4825716; 1634045135.2901394; 3.807567834854126
1634045136.6828432; 1634045140.5315087; 3.848665475845337
