1634560926.9231765; 1634560927.2756724; 0.3524959087371826
1634560933.1531372; 1634560933.4984922; 0.3453550338745117
1634560941.594795; 1634560941.9447186; 0.34992361068725586
1634560947.6728694; 1634560948.030478; 0.3576085567474365
1634560953.9678397; 1634560954.326022; 0.3581821918487549
1634560961.3494647; 1634560961.6935294; 0.34406471252441406
1634560966.9237704; 1634560967.2814379; 0.3576674461364746
1634560972.4707758; 1634560972.8363264; 0.36555051803588867
1634560978.1973922; 1634560978.5491843; 0.3517920970916748
1634560984.2876368; 1634560984.6462178; 0.3585810661315918
