1634560923.63246; 1634560928.1463153; 4.513855218887329
1634560929.7477012; 1634560934.2895606; 4.54185938835144
1634560938.1861472; 1634560942.8090346; 4.622887372970581
1634560943.721814; 1634560948.8903875; 5.168573617935181
1634560950.569343; 1634560955.0814612; 4.512118101119995
1634560957.8484612; 1634560962.3728611; 4.524399995803833
1634560963.2913227; 1634560967.942969; 4.651646375656128
1634560968.912152; 1634560973.5806615; 4.668509483337402
1634560974.7207751; 1634560979.258262; 4.537486791610718
1634560980.7624528; 1634560985.469265; 4.706812143325806
